,iters, ids, wins, newrecord, p1, p2, p3, p4, p5, p6, p7, p8
1371,327,1,176,1,184.879187,566.317639,171.316986,7.591888000000001,220.59975,292.863434,47.875608,25.456887
1376,328,1,95,1,205.21589699999998,554.9912860000001,167.890646,8.426996,185.30379,328.007046,45.003071999999996,24.693179999999998
1380,329,0,142,1,205.21589699999998,554.9912860000001,167.890646,8.426996,185.30379,328.007046,45.003071999999996,24.693179999999998
1387,330,2,133,1,186.746466,516.141896,152.780488,9.859585000000001,253.86619199999998,334.567186,36.002457,18.519885000000002
1390,331,0,164,1,186.746466,516.141896,152.780488,9.859585000000001,253.86619199999998,334.567186,36.002457,18.519885000000002
1399,332,4,124,1,184.879002,490.33480099999997,154.308293,10.056777,238.63422000000003,304.45614,31.682161999999998,20.557073000000003
1401,333,1,173,1,184.879002,529.5615849999999,180.540702,11.866997,260.1113,255.743157,31.682161999999998,23.640634
1405,334,0,153,1,184.879002,529.5615849999999,180.540702,11.866997,260.1113,255.743157,31.682161999999998,23.640634
1412,335,2,127,1,212.610852,566.630896,180.540702,12.816355999999999,275.71797799999996,304.334357,37.701772999999996,26.241103000000003
1416,336,1,56,1,174.340899,628.960295,148.043376,17.686572,388.76234900000003,407.808039,35.062649,37.262367
1424,337,4,80,1,177.82771699999998,622.670692,134.719472,15.033585999999998,338.223244,448.588843,37.166408000000004,42.851721999999995
1428,338,3,87,1,181.38427099999998,529.270088,132.025083,15.334257999999998,301.018687,488.961838,40.883049,40.280618
1431,339,1,105,1,206.778069,571.611695,132.025083,13.954175,313.059434,420.50718099999995,41.70071,44.711486
1435,340,0,136,1,206.778069,571.611695,132.025083,13.954175,313.059434,420.50718099999995,41.70071,44.711486
1440,341,0,153,1,206.778069,571.611695,132.025083,13.954175,313.059434,420.50718099999995,41.70071,44.711486
1446,342,1,220,1,219.18475299999997,634.4889820000001,121.463076,13.535549,325.581812,445.737612,47.538809,39.346108
1450,343,0,58,1,219.18475299999997,634.4889820000001,121.463076,13.535549,325.581812,445.737612,47.538809,39.346108
1459,344,4,78,1,238.911381,691.59299,129.965491,15.159815,306.046903,374.419594,48.964974,46.821868
1463,345,3,144,1,226.965812,733.08857,123.46721699999999,17.282189000000002,361.13534599999997,351.95441800000003,58.26831899999999,50.567617999999996
1467,346,2,72,1,240.58376099999998,623.125284,107.41647900000001,17.973477,411.694294,366.032595,64.09515,59.669789
1471,347,1,196,1,255.01878599999998,729.056582,106.34231399999999,15.097721,374.641808,406.296181,62.172295999999996,66.830164
1478,348,3,189,1,326.424046,794.671675,88.26411999999999,14.795766,419.59882400000004,442.862837,58.44195799999999,59.478846
1481,349,1,83,1,385.180375,858.245409,87.381479,17.015131,386.03091800000004,420.719695,58.44195799999999,54.720538
1489,350,4,72,1,346.66233700000004,961.234858,100.488701,18.376342,451.656175,416.512498,49.091245,54.720538
1493,351,3,108,1,402.128311,961.234858,94.459379,21.132793,510.37147699999997,354.035623,55.96401899999999,47.606868
1496,352,1,152,1,337.787781,970.847206,80.290472,18.174201999999998,561.408625,346.954911,66.597183,47.1308
1502,353,2,109,1,368.188682,1000.0,85.107901,20.71859,510.88184900000005,346.954911,68.595098,41.946412
1507,354,2,75,1,342.415474,840.0,101.278402,24.447936,582.405308,353.894009,59.677735999999996,39.429627
1513,355,3,100,1,311.598081,789.6,84.061073,28.604086,669.766104,318.504608,63.2584,40.218219
1519,356,4,157,1,267.97435,789.6,95.829624,30.320331,783.626341,356.725161,65.788736,36.59858
1520,357,0,166,1,267.97435,789.6,95.829624,30.320331,783.626341,356.725161,65.788736,36.59858
1527,358,2,70,1,257.25537599999996,671.16,105.412586,34.86838,767.9538150000001,385.26317400000005,73.025497,40.990409
1531,359,1,304,1,267.545591,724.8528,120.170348,29.986807000000002,721.8765860000001,362.147384,61.34141700000001,43.859738
1536,360,1,102,1,280.922871,732.1013280000001,115.363534,24.88905,830.158074,300.58232799999996,52.140205,46.491322
1544,361,4,197,1,283.732099,841.916527,114.209899,24.88905,730.539105,312.60562200000004,47.447586,44.166756
1546,362,1,62,1,244.009605,757.724874,113.0678,21.902364000000002,832.814579,334.488015,48.396538,41.516751
1552,363,2,134,1,219.60864500000002,765.302123,102.891698,25.625766,757.861267,384.66121699999997,53.236192,49.404933
1555,364,0,182,1,219.60864500000002,765.302123,102.891698,25.625766,757.861267,384.66121699999997,53.236192,49.404933
1560,365,0,147,1,219.60864500000002,765.302123,102.891698,25.625766,757.861267,384.66121699999997,53.236192,49.404933
1566,366,1,82,1,202.039953,780.608166,111.123034,27.932084999999997,757.861267,415.43411499999996,56.962725,47.428736
